# transitions-schema: gororoba-legacy-patch-transitions-v1
patch_index	patch	patch_sha256	input_tree	output_tree	effect_diff_sha256	apply_engine	alternate_engine_result	files_changed	atoms	lines_added	lines_removed
0	0002-rs480-cp-mc-cache-flush.patch	9aaeed7ff68c6892c2c754977784a9ae1ab43722f0270afd4e4f308783ca57fc	9ac2b2c12b51cf8ce051a24984f40f231dde31fd	1f2f4bacf1592a9db625ff963a04af9fb981560f	67bbeba40eab9ed812ca36dad3b543ab0c8c2a95a8276696ce0ca04cb76a2d0b	git-apply	accepts-identical-tree	1	4	44	0
1	0003-rs480-crash-shim-recovery.patch	cc921d8f17005e3e77fb7a610c427d585b15c1dfd907525c6d7575dac168b5c3	1f2f4bacf1592a9db625ff963a04af9fb981560f	efc90992b9f2f633b95c2a4c365b26f286cb13b7	2ebeada9fc85611468830bf8ac37939838a0513d48480722cb72ffcf5568a380	git-apply	accepts-identical-tree	1	1	10	0
2	0004-rs480-candidate-regs-debugfs.patch	dd75e9385f5d790d8b2dea4a3a45a63018381ecc07ef13f736202572af1c50fb	efc90992b9f2f633b95c2a4c365b26f286cb13b7	3476cdc0f58aedcf9d6db2fddaa19ce761e6c387	9bc30675f5396d6a2ff0275a2bea112de10e72c771ce17480fd42dd5e71845d6	git-apply	accepts-identical-tree	3	7	216	0
3	0005-rs480-firmware-read-candidate-regs-debugfs.patch	649b31644834efe1492dd6d3ccf36734654649cc8a454d919a2636e2d8efb5cc	3476cdc0f58aedcf9d6db2fddaa19ce761e6c387	ea90d2d63cf414296c6f0dbc2d84aa1eea707198	555bb70b8b762f9d50f0ccabc21ecb3dc7967efaa9f6bbb475162cb3a51024fc	git-apply	accepts-identical-tree	1	2	35	0
4	0006-rs480-cp-me-ram-dump-debugfs.patch	f516362810b934851fd9f8773bddc926e6febf0218bd4731fe2cc18bfc6beeb2	ea90d2d63cf414296c6f0dbc2d84aa1eea707198	8a07ed74d61f0d548b6ab0f5f67d78a081564de9	62eb5e6d0a114d6744ecaeae1b77859f5033437bb155902f1a9f49ad342a1c27	git-apply	accepts-identical-tree	3	5	101	0
5	0007-rs480-cs-parser-init-failure-telemetry.patch	db99d8058c4054ea6de6c6c618e2f1a3837dd87c09a5f331741961efd8a877e2	8a07ed74d61f0d548b6ab0f5f67d78a081564de9	6fdcf0fcd953fded1e9f22f02fbf7fe447d91a9a	e421b32104ddcaa14490a12e7ce023a2d573f483c69c09f81120541c355d783f	git-apply	accepts-identical-tree	1	6	67	13
6	0008-rs480-cp-me-ram-inject-write-verify-restore.patch	29b1f12b17c1ea40d61638f93e69c9155935dafebeae55c08e07d1669992fe87	6fdcf0fcd953fded1e9f22f02fbf7fe447d91a9a	ee6db64630ab3cd801671cfc611a94e5c7a9c26d	4dd56d7bdcbf36ff6b0aa09b1f4bde855f1f793a33f6787a0385773a743cd9d0	git-apply	accepts-identical-tree	3	6	157	0
7	0009-rs480-debugfs-init-dri-minor-root.patch	e5e4da27a9cb3eca0c909411e505ae083c1097d3ff205597fd922ecd8a3e236a	ee6db64630ab3cd801671cfc611a94e5c7a9c26d	6514d8c7b8b2137829e332071d626c48b9c09e1a	0c269ecfd68d13b6a82ebb9229b73bc1b7cb006ceaaef3a93b8bb619b453c7c0	git-apply	accepts-identical-tree	4	6	36	6
8	0010-rs480-mc-benign-candidate-regs-debugfs.patch	a7d19ed4adbfc90655ecd3684468294e3ba5d25c18c2a4114e39e0b9dfccdf9a	6514d8c7b8b2137829e332071d626c48b9c09e1a	c1582e7812c03ca24655c61f9db78bca51e3b9f6	d700eeefb15542353ce7c365bbba280c89ff5fe06c7ba650b21cd4322c07dfb1	git-apply	accepts-identical-tree	1	2	39	0
9	0011-rs480-gart-status-candidate-regs-debugfs.patch	72188c3a54ad234a16650547615840831c0a5b908d98fcd6b67b45a94ff66829	c1582e7812c03ca24655c61f9db78bca51e3b9f6	d1a20bb550b4765d672664dd5ff392ffb2cd5d09	f5141808275affb1b3116b23928a170cfb3815af22a08ce1c876cbe37fc41a92	git-apply	accepts-identical-tree	1	2	38	0
10	0012-rs480-uma-status-debugfs.patch	c4a72d72e4d20455b55e9b34d4f9930e0b1fd310ad6e29c107a3f21d89303e66	d1a20bb550b4765d672664dd5ff392ffb2cd5d09	9d1d519899a38d5b4e72daf74dcc65d9807b8122	eef7ade4f6fdf320f9f3c4b0055c45561266e21ec6b772a4bd20191bffd43f57	git-apply	accepts-identical-tree	1	2	50	0
11	0013-rs480-cp-me-oracle-debugfs.patch	4b07be4380937339b63043315fa1fa1ae20666274a86f708e198228795f4a981	9d1d519899a38d5b4e72daf74dcc65d9807b8122	b140f89504d4628bf88078d6637073148a9c00bf	32c9023f80be4f7cb915f9c6eeb4c11d0fffac3aec29dc31555173fe14f074a0	git-apply	accepts-identical-tree	3	5	189	0
12	0014-rs480-promote-config-regs-to-safe.patch	85bc4b0bbff13997d51ccce1fa7fa9e4bbf47f1e121203803b8409f6313d6092	b140f89504d4628bf88078d6637073148a9c00bf	dded3e102fc721bf8f44f2e93bc3039d55c44d97	d0be0baef28653f75e7a0170583416da6dcdca0723ac9f21869449ac06e47520	git-apply	accepts-identical-tree	1	1	7	0
13	0015-rs480-frontier-attended-probe-debugfs.patch	a814f5bd6b46f9b2083d4dc6053d57512b7e571187a2e8e8b9f2ccdc90d6193b	dded3e102fc721bf8f44f2e93bc3039d55c44d97	4c5fee1ad675e515218e720d58c492ae9eebbf89	03e10a003a02bfab7bc38f86be4370aa578679297f1549d45b2ec4ff590d3410	git-apply	accepts-identical-tree	3	5	49	0
14	0016-rs480-cp-me-inject-eio-perdev-ppos-hardening.patch	7dbed51345e065c75bbf97fb269fe784bf78cf0d6d89618f9fce3aba2da1be61	4c5fee1ad675e515218e720d58c492ae9eebbf89	8a48228e9398c2fbcf556b94c5aefcb0b3f5e558	cce4837fe4b7f7b91fc2b3145ed288e8166d32ff378e4d9352f6678995f434f0	git-apply	accepts-identical-tree	1	5	54	17
15	0017-rs480-promote-frontier-responders-to-safe.patch	1c4dc355f24a95f5eb8b68ab9179dc457873b711dcbba1f9c691b08f7a1d3cee	8a48228e9398c2fbcf556b94c5aefcb0b3f5e558	528eed3601a6405a4a738deb1c9e57b202638355	4fde4c5883e9b746eb83e1333002433040fd1ba836e13654e3ff2fb27393a204	git-apply	accepts-identical-tree	1	1	8	0
16	0018-rs480-sclk-cntl-pll-status-debugfs.patch	8e7b4c63b9bad39d7b30986ce0c4a6c4935bfc5d09d7a9684d5ab6154ec3eeca	528eed3601a6405a4a738deb1c9e57b202638355	90c57ac18e9013c6c39d710fd6fbb0f5e7f4dcaf	a49fed5864622e65b501761cd7d875f8c7140b8a1fe53088d9aaede65dededd1	git-apply	accepts-identical-tree	1	2	44	0
17	0019-rs480-pll-indirect-and-hazard-firstread-debugfs.patch	b706f21b8a5e099ec006ad105406c71452939bb3671615a2d03865a016b25fa9	90c57ac18e9013c6c39d710fd6fbb0f5e7f4dcaf	a8b6e2187e405ce665a1f38337abc332627e035f	af9cf9efc614cd369ac732ec10159b112b3e374a831233654e007af65f3a9b1e	git-apply	accepts-identical-tree	3	6	196	0
18	0020-rs480-promote-hazard-read-responders-to-safe.patch	df61741aedb64bcdf05001199305e566f2d75b15c517ade104386805b3e77f62	a8b6e2187e405ce665a1f38337abc332627e035f	8133cf8dfca9d57d2ee06b003f0f935182896ac8	2ad0ac429dc33c8e97334819aba2169bce50fa761de1d1e55e34f008bea17896	git-apply	accepts-identical-tree	1	1	29	0
19	0021-rs480-cs-checker-r400-us-allowlist.patch	84c51c35f302e144685fdd9edfc62b6e0e09ff993fb6cc5cce475c79fa3e84a0	8133cf8dfca9d57d2ee06b003f0f935182896ac8	5608c1a538c610c35d82988d4fa42200b48a5dfa	f2788687d31d7a1f5a00101506e0a1c7a181ad0840bbf0bcd22c875c97d30e41	git-apply	gnu-patch-false-reject-fully-contexted-hunk	5	9	821	2
20	0022-rs480-vertex-engine-attended-probe-debugfs.patch	ece85f2d906e860fa458dec8c2bb420d8f8414e6f4667c5d785fba6972ff283c	5608c1a538c610c35d82988d4fa42200b48a5dfa	67677f4bc9a122da7afaa4b18ffdd08476a91164	f85447c78f5f4d3bfd7844c3f156171129f79d84ce6c1bbab39944d07e929ba7	git-apply	gnu-patch-false-reject-fully-contexted-hunk	3	5	53	0
21	0024-rs480-reader-hazard-skip-guard.patch	17e629374a6c3a4e911933c18195abedd7197663a0b9f1e144e2762edb6d8f9b	67677f4bc9a122da7afaa4b18ffdd08476a91164	c3138cf4ef5c0fc870de61771433cf03ea1940b3	85e392502986969e8c868af19aa1106763238faa37a84defcc8ac00c7d65b9a2	git-apply	accepts-identical-tree	1	1	23	0
22	0025-rs480-per-domain-force-clock-then-read-node.patch	930c027a7240675cb6afa3f1e8af15662b5e8f5ba6147815bb4c62a1ff75c9e6	c3138cf4ef5c0fc870de61771433cf03ea1940b3	cab0a62c2f6f55b8aa3e841289339846fe29637f	6c0cb093e2a12409f6a3ba6d56312fe7ccb679cb1d5c97c9b66edf13ceac3320	git-apply	accepts-identical-tree	3	5	100	0
23	0026-rs480-gate-wedge-prone-candidate-readers.patch	06c890d5e9f4c023b1ffbe0da4f603bfaa6911c88c4ad91dd54c44a9fd2196b2	cab0a62c2f6f55b8aa3e841289339846fe29637f	bc53006d3316da4081cf7f2136e60ce65b9b75ed	a5aa694f335e25de3097402a2eb18d2961adb0f429b3bc4a8bfd3ba726aa1dc6	git-apply	accepts-identical-tree	3	5	25	0
